query,question,all_values_found,model_prediction,executable,correct
SELECT T1.total_cost FROM projects AS T1 WHERE T1.title = 'Theseus',Find the total cost of the project Theseus,True,,False,False
SELECT T1.total_cost FROM projects AS T1 WHERE T1.title = 'Theseus',Show total cost of project with title Theseus,True,,False,False
SELECT acronym FROM projects WHERE start_year = 2018,Show me the acronyms of projects that started in 2018,True,,False,False
SELECT acronym FROM projects WHERE start_year = 2018,Get acronyms of projects beginning in 2018,True,,False,False
SELECT title FROM projects WHERE start_year < 2016,Show me the titles of projects that started before 2016,True,,False,False
SELECT title FROM projects WHERE start_year < 2016,Find titles of projects which started earlier than 2016,True,,False,False
SELECT T1.institutions_name FROM institutions AS T1 JOIN eu_territorial_units AS T2 ON T1.geocode_regions_3 = T2.geocode_regions WHERE T2.description = 'Nordjylland',Find institutions from the region of Nordjylland,True,,False,False
SELECT T1.institutions_name FROM institutions AS T1 JOIN eu_territorial_units AS T2 ON T1.geocode_regions_3 = T2.geocode_regions WHERE T2.description = 'Nordjylland',Show the name of institutions based in Nordjylland,True,,False,False
SELECT T2.full_name FROM projects AS T1 join people as T2 on T1.principal_investigator = T2.unics_id WHERE T1.start_year = 2014,Find the name of principal investigators in projects that started in 2014,True,,False,False
SELECT T2.full_name FROM projects AS T1 join people as T2 on T1.principal_investigator = T2.unics_id WHERE T1.start_year = 2014,Show the full name of people being investigators in projects that began in 2014,True,,False,False
SELECT t1.title FROM projects AS T1 join project_subject_areas as psa on T1.unics_id = psa.project join subject_areas as sa on psa.subject_area = sa.code WHERE sa.title = 'Mathematics and Statistics',Find projects whose subject area is “Mathematics and Statistics”,True,,False,False
"SELECT t1.acronym, sa.description FROM projects AS T1 join project_subject_areas as psa on T1.unics_id = psa.project join subject_areas as sa on psa.subject_area = sa.code WHERE sa.title = 'Mathematics and Statistics'",Show the acronym and subject area description of projects with subject area “Mathematics and Statistics”,True,,False,False
SELECT distinct t.title FROM projects AS T1 join project_topics as pt on T1.unics_id = pt.project join topics as t on pt.topic = t.code where t1.end_year = 2014,Find all different topics of projects that ended in 2014,True,,False,False
SELECT distinct t.title FROM projects AS T1 join project_topics as pt on T1.unics_id = pt.project join topics as t on pt.topic = t.code where t1.end_year = 2014,Find distinct titles of topics of projects that with end year 2014,True,,False,False
Select p.acronym from projects as p join project_members as pm on p.unics_id = pm.project join institutions as i on pm.institution_id = i.unics_id join countries as c on i.country_id = c.unics_id where c.country_name = 'Greece',Show the acronym of projects with a member from Greece,True,,False,False
Select i.institutions_name from institutions as i join countries as c on i.country_id = c.unics_id where c.country_name = 'France' or c.country_name = 'Germany',Show names of institutions from France or Germany,True,,False,False
Select i.institutions_name from institutions as i join countries as c on i.country_id = c.unics_id where c.country_name != 'France',Show names of institutions which are not from France,True,,False,False
Select count(p.unics_id) from projects as p where start_year = 2016,Count the projects that started in 2016,True,,False,False
Select p.title from projects as p where total_cost = (select max(p2.total_cost) from projects as p2),Show the title of the project with the highest total cost,True,,False,False
SELECT T1.member_name FROM project_members AS T1 JOIN projects AS T2 ON T1.project = T2.unics_id WHERE T2.total_cost < (SELECT AVG(T23.total_cost) FROM projects AS T23),Show the name of members in projects costing less than the average project cost.,True,,False,False
select p.unics_id from projects as p join project_members as pm on p.unics_id = pm.project group by p.unics_id having count(p.unics_id) >= 100,Find the id of projects with at least 100 members,True,,False,False
"select s.code, s.title from funding_schemes as s where s.code = (select s2.code from funding_schemes as s2 join projects as p on s2.code = p.ec_fund_scheme group by s2.code order by count(*) desc LIMIT 1)",Find the code and title of the funding scheme which funded the highest number of projects.,True,,False,False
SELECT sum(total_cost) FROM projects,Show the total costs of all projects,True,,False,False
select title from projects where start_year > 2006 and end_year > 2006,Show me the title of projects which have an end year and a start year after 2006,True,,False,False
"select title, end_year - start_year from projects order by end_year - start_year desc limit 1",Find the projects which lasted the longest and have an end year and a start year,True,,False,False
select title from topics where title like 'Raw materials%',Show me topic titles which starts with 'Raw materials',True,,False,False
select title from topics where title like '%climate%',Show me topic titles which contain the word 'climate',True,,False,False
select count(*) from projects as p join people as peep on p.principal_investigator = peep.unics_id where peep.full_name = 'Thomas Bell',Show me the number of projects where Thomas Bell was principal investigator,True,,False,False
select distinct full_name from people,Show me the all different names of people,True,,False,False
select p.acronym from projects as p where p.total_cost between 100000 and 200000,Find the acronym of projects which have total costs between 100000 and 200000,True,,False,False
select p.title from projects as p where p.total_cost > 1000000,Show the title of projects with costs higher than 1000000,True,,False,False
