query,question,all_values_found,model_prediction,executable,correct
SELECT T1.total_cost FROM projects AS T1 WHERE T1.title = 'Theseus',Find the total cost of the project Theseus,True,SELECT total_cost FROM projects WHERE title = 'Theseus',True,True
SELECT T1.total_cost FROM projects AS T1 WHERE T1.title = 'Theseus',Show total cost of project with title Theseus,True,SELECT total_cost FROM projects WHERE title = 'Theseus',True,True
SELECT acronym FROM projects WHERE start_year = 2018,Show me the acronyms of projects that started in 2018,True,SELECT acronym FROM projects WHERE start_year = 2018,True,True
SELECT acronym FROM projects WHERE start_year = 2018,Get acronyms of projects beginning in 2018,True,SELECT acronym FROM projects WHERE start_year = 2018,True,True
SELECT title FROM projects WHERE start_year < 2016,Show me the titles of projects that started before 2016,True,SELECT title FROM projects WHERE start_year < 2016,True,True
SELECT title FROM projects WHERE start_year < 2016,Find titles of projects which started earlier than 2016,True,SELECT title FROM projects WHERE start_year < 2016,True,True
SELECT T1.institutions_name FROM institutions AS T1 JOIN eu_territorial_units AS T2 ON T1.geocode_regions_3 = T2.geocode_regions WHERE T2.description = 'Nordjylland',Find institutions from the region of Nordjylland,True,SELECT institutions_name FROM institutions WHERE geocode_regions_3 = 'Nordjylland',True,False
SELECT T1.institutions_name FROM institutions AS T1 JOIN eu_territorial_units AS T2 ON T1.geocode_regions_3 = T2.geocode_regions WHERE T2.description = 'Nordjylland',Show the name of institutions based in Nordjylland,True,SELECT institutions_name FROM institutions WHERE geocode_regions_3 = 'Nordjylland',True,False
SELECT T2.full_name FROM projects AS T1 join people as T2 on T1.principal_investigator = T2.unics_id WHERE T1.start_year = 2014,Find the name of principal investigators in projects that started in 2014,True,SELECT full_name FROM people WHERE unics_id IN (SELECT principal_investigator FROM projects WHERE start_year = 2014),True,True
SELECT T2.full_name FROM projects AS T1 join people as T2 on T1.principal_investigator = T2.unics_id WHERE T1.start_year = 2014,Show the full name of people being investigators in projects that began in 2014,True,SELECT full_name FROM people WHERE unics_id IN (SELECT principal_investigator FROM projects WHERE start_year = 2014),True,True
SELECT t1.title FROM projects AS T1 join project_subject_areas as psa on T1.unics_id = psa.project join subject_areas as sa on psa.subject_area = sa.code WHERE sa.title = 'Mathematics and Statistics',Find projects whose subject area is “Mathematics and Statistics”,True,SELECT p.acronym FROM projects p JOIN project_subject_areas psa ON p.unics_id = psa.project JOIN subject_areas sa ON psa.subject_area = sa.code WHERE sa.title = 'Mathematics and Statistics',True,False
"SELECT t1.acronym, sa.description FROM projects AS T1 join project_subject_areas as psa on T1.unics_id = psa.project join subject_areas as sa on psa.subject_area = sa.code WHERE sa.title = 'Mathematics and Statistics'",Show the acronym and subject area description of projects with subject area “Mathematics and Statistics”,True,"SELECT p.acronym, sa.description FROM projects p JOIN project_subject_areas psa ON p.unics_id = psa.project JOIN subject_areas sa ON psa.subject_area = sa.code WHERE sa.title = 'Mathematics and Statistics'",True,True
SELECT distinct t.title FROM projects AS T1 join project_topics as pt on T1.unics_id = pt.project join topics as t on pt.topic = t.code where t1.end_year = 2014,Find all different topics of projects that ended in 2014,True,SELECT DISTINCT t.title FROM topics t JOIN project_topics pt ON t.code = pt.topic JOIN projects p ON pt.project = p.unics_id WHERE p.end_year = 2014,True,True
SELECT distinct t.title FROM projects AS T1 join project_topics as pt on T1.unics_id = pt.project join topics as t on pt.topic = t.code where t1.end_year = 2014,Find distinct titles of topics of projects that with end year 2014,True,SELECT DISTINCT t.title FROM topics t JOIN project_topics pt ON t.code = pt.topic JOIN projects p ON pt.project = p.unics_id WHERE p.end_year = 2014,True,True
Select p.acronym from projects as p join project_members as pm on p.unics_id = pm.project join institutions as i on pm.institution_id = i.unics_id join countries as c on i.country_id = c.unics_id where c.country_name = 'Greece',Show the acronym of projects with a member from Greece,True,SELECT p.acronym FROM projects p JOIN project_members pm ON p.unics_id = pm.project WHERE pm.country = 'GR',True,False
Select i.institutions_name from institutions as i join countries as c on i.country_id = c.unics_id where c.country_name = 'France' or c.country_name = 'Germany',Show names of institutions from France or Germany,True,"SELECT institutions_name FROM institutions WHERE country_id IN (SELECT unics_id FROM countries WHERE country_name IN ('France', 'Germany'))",True,True
Select i.institutions_name from institutions as i join countries as c on i.country_id = c.unics_id where c.country_name != 'France',Show names of institutions which are not from France,True,SELECT institutions_name FROM institutions WHERE country_id NOT IN (SELECT unics_id FROM countries WHERE country_name = 'France'),True,True
Select count(p.unics_id) from projects as p where start_year = 2016,Count the projects that started in 2016,True,SELECT COUNT(*) FROM projects WHERE start_year = 2016,True,True
Select p.title from projects as p where total_cost = (select max(p2.total_cost) from projects as p2),Show the title of the project with the highest total cost,True,SELECT title FROM projects ORDER BY total_cost DESC LIMIT 1,True,True
SELECT T1.member_name FROM project_members AS T1 JOIN projects AS T2 ON T1.project = T2.unics_id WHERE T2.total_cost < (SELECT AVG(T23.total_cost) FROM projects AS T23),Show the name of members in projects costing less than the average project cost.,True,SELECT pm.member_name FROM project_members pm JOIN projects p ON pm.project = p.unics_id WHERE p.total_cost < (SELECT AVG(total_cost) FROM projects),True,True
select p.unics_id from projects as p join project_members as pm on p.unics_id = pm.project group by p.unics_id having count(p.unics_id) >= 100,Find the id of projects with at least 100 members,True,SELECT p.unics_id FROM projects p JOIN project_members pm ON p.unics_id = pm.project GROUP BY p.unics_id HAVING COUNT(pm.unics_id) >= 100,True,True
"select s.code, s.title from funding_schemes as s where s.code = (select s2.code from funding_schemes as s2 join projects as p on s2.code = p.ec_fund_scheme group by s2.code order by count(*) desc LIMIT 1)",Find the code and title of the funding scheme which funded the highest number of projects.,True,"SELECT fs.code, fs.title FROM funding_schemes fs JOIN projects p ON fs.code = p.ec_fund_scheme GROUP BY fs.code, fs.title ORDER BY COUNT(p.unics_id) DESC LIMIT 1",True,True
SELECT sum(total_cost) FROM projects,Show the total costs of all projects,True,SELECT SUM(total_cost) FROM projects,True,True
select title from projects where start_year > 2006 and end_year > 2006,Show me the title of projects which have an end year and a start year after 2006,True,SELECT title FROM projects WHERE start_year > 2006 AND end_year IS NOT NULL,True,True
"select title, end_year - start_year from projects order by end_year - start_year desc limit 1",Find the projects which lasted the longest and have an end year and a start year,True,SELECT title FROM projects WHERE end_year IS NOT NULL AND start_year IS NOT NULL ORDER BY end_year - start_year DESC LIMIT 1,True,False
select title from topics where title like 'Raw materials%',Show me topic titles which starts with 'Raw materials',True,SELECT title FROM topics WHERE title LIKE 'Raw materials%',True,True
select title from topics where title like '%climate%',Show me topic titles which contain the word 'climate',True,SELECT title FROM topics WHERE title LIKE '%climate%',True,True
select count(*) from projects as p join people as peep on p.principal_investigator = peep.unics_id where peep.full_name = 'Thomas Bell',Show me the number of projects where Thomas Bell was principal investigator,True,SELECT COUNT(*) FROM projects WHERE principal_investigator IN (SELECT unics_id FROM people WHERE full_name = 'Thomas Bell'),True,True
select distinct full_name from people,Show me the all different names of people,True,SELECT DISTINCT full_name FROM people,True,True
select p.acronym from projects as p where p.total_cost between 100000 and 200000,Find the acronym of projects which have total costs between 100000 and 200000,True,SELECT acronym FROM projects WHERE total_cost BETWEEN 100000 AND 200000,True,True
select p.title from projects as p where p.total_cost > 1000000,Show the title of projects with costs higher than 1000000,True,SELECT title FROM projects WHERE total_cost > 1000000,True,True
select p.title from projects as p where p.total_cost > 1000000,Show the title of projects with costs higher than a million,True,SELECT title FROM projects WHERE total_cost > 1000000,True,True
"select title, member_name from projects as p join project_members as pm on p.unics_id = pm.project join project_member_roles as pmr on pm.member_role = pmr.code where pmr.code = 'partner'",Show the project title and member name where the member has a partner role ,True,"SELECT p.title, pm.member_name FROM projects p JOIN project_members pm ON p.unics_id = pm.project WHERE pm.member_role = 'partner'",True,True
select distinct description from erc_research_domains,What different research domains do exist?,True,SELECT DISTINCT description FROM erc_research_domains,True,True
select c.country_name from countries as c join institutions as i on c.unics_id = i.country_id,Show me the country name of all institutes.,True,SELECT c.country_name FROM countries c JOIN institutions i ON c.unics_id = i.country_id,True,True
select c.country_name from countries as c join institutions as i on c.unics_id = i.country_id,Show me the country of all institutes.,True,SELECT c.country_name FROM countries c JOIN institutions i ON c.unics_id = i.country_id,True,True
"select country_code2, country_code3 from countries where country_name = 'Andorra'",What is the country code 2 and country code 3 for Andorra?,True,"SELECT country_code2, country_code3 FROM countries WHERE country_name = 'Andorra'",True,True
select code from funding_schemes where title = 'Framework Partnership Agreement',Find the code of the funding scheme for Framework Partnership Agreement,True,SELECT code FROM funding_schemes WHERE title = 'Framework Partnership Agreement',True,True
select title from programmes where short_name = 'Transport',Show me the full title of the program which is called 'Transport' in short.,True,SELECT title FROM programmes WHERE short_name = 'Transport',True,True
"select pm.member_name, pr.code from project_members as pm join projects as p on pm.project = p.unics_id join project_member_roles as pr on pm.member_role = pr.code where p.acronym = 'GTBB'",Find member name and role code of project members in project with acronym GTBB,True,"SELECT pm.member_name, pm.member_role FROM project_members pm JOIN projects p ON pm.project = p.unics_id WHERE p.acronym = 'GTBB'",True,True
"select pm.member_name, pr.code from project_members as pm join projects as p on pm.project = p.unics_id join project_member_roles as pr on pm.member_role = pr.code where p.acronym = 'GTBB'",Find member name and role code of project members in project GTBB,True,"SELECT pm.member_name, pm.member_role FROM project_members pm JOIN projects p ON pm.project = p.unics_id WHERE p.acronym = 'GTBB'",True,True
select title from programmes where parent = 'FP7',Show titles of programmes which have FP7 as parent program,True,SELECT title FROM programmes WHERE parent = 'FP7',True,True
select title from programmes where parent = 'FP7',Show titles of programmes which have program with code FP7 as parent program,True,SELECT title FROM programmes WHERE parent = 'FP7',True,True
select p.description from erc_panels as p join erc_research_domains as erd on p.part_of = erd.code where erd.description = 'Life Sciences',Get panel descriptions from research domain Life Sciences,True,SELECT description FROM erc_panels WHERE part_of = 'LS',True,True
select p.description from erc_panels as p join erc_research_domains as erd on p.part_of = erd.code where erd.description = 'Life Sciences',Get panel descriptions from research domain life sciences,True,SELECT description FROM erc_panels WHERE part_of = 'LS',True,True
select member_name from project_members as mb join activity_types as a on a.code = mb.activity_type where a.description = 'Research Organisations',Find project members of type Research Organisations,True,SELECT member_name FROM project_members WHERE activity_type = 'Research Organisations',True,False
select member_name from project_members as mb join activity_types as a on a.code = mb.activity_type where a.description = 'Research Organisations',Get names of project members who's activity type description is Research Organisations,True,SELECT member_name FROM project_members WHERE activity_type = 'Research Organisations',True,False
select objective from projects where acronym = 'DEEPCARBON',What is the objective of DEEPCARBON?,True,SELECT objective FROM projects WHERE acronym = 'DEEPCARBON',True,True
select objective from projects where acronym = 'DEEPCARBON',What is the objective of the project with acronym DEEPCARBON?,True,SELECT objective FROM projects WHERE acronym = 'DEEPCARBON',True,True
select title from projects where objective like '%carbon capturing%',Get the title of projects having the term 'carbon capturing' in it's objective.,True,SELECT title FROM projects WHERE objective LIKE '%carbon capturing%',True,True
select count(*) from projects where objective like '%carbon capturing%',How many projects have an objective which contains 'carbon capturing'?,True,SELECT COUNT(*) FROM projects WHERE objective LIKE '%carbon capturing%',True,True
select i.institutions_name from institutions as i join countries as c on c.unics_id = i.country_id where country_name = 'France' except select i.institutions_name from institutions as i join countries as c on c.unics_id = i.country_id join eu_territorial_units as etu on i.geocode_regions_3 = etu.geocode_regions where country_name = 'France' and etu.description = 'Paris',Show all names of institutions from France except institutions from the territorial region of Paris,True,SELECT institutions_name FROM institutions WHERE country_id IN (SELECT unics_id FROM countries WHERE country_name = 'France') AND geocode_regions_3 != 'Paris',True,False
select i.institutions_name from institutions as i join countries as c on c.unics_id = i.country_id where country_name = 'France' except select i.institutions_name from institutions as i join countries as c on c.unics_id = i.country_id join eu_territorial_units as etu on i.geocode_regions_3 = etu.geocode_regions where country_name = 'France' and etu.description = 'Paris',Show institutions from France except the ones from Paris,True,SELECT institutions_name FROM institutions WHERE country_id IN (SELECT unics_id FROM countries WHERE country_name = 'France') AND geocode_regions_3 != 'Paris',True,False
SELECT distinct member_name from project_members WHERE member_name NOT in (SELECT member_name from project_members where member_role = 'coordinator'),Which institutions have never been project coordinators,True,SELECT institutions_name FROM institutions WHERE unics_id NOT IN (SELECT institution_id FROM project_members WHERE member_role = 'coordinator'),True,True
SELECT distinct member_name from project_members WHERE member_name NOT in (SELECT member_name from project_members where member_role = 'coordinator'),Show all of the instituions that have never coordinated a project,False,SELECT institutions_name FROM institutions WHERE unics_id NOT IN (SELECT institution_id FROM project_members WHERE member_role = 'coordinator'),True,True
"SELECT t1.full_name, count(p.title) FROM people as t1 join projects as p on t1.unics_id = p.principal_investigator group by t1.full_name HAVING count(p.title) > 1",Show all of the names of people who have worked on multiple projects,False,SELECT full_name FROM people WHERE unics_id IN (SELECT principal_investigator FROM projects GROUP BY principal_investigator HAVING COUNT(principal_investigator) > 1),True,False
"SELECT t1.full_name, count(p.title) FROM people as t1 join projects as p on t1.unics_id = p.principal_investigator group by t1.full_name HAVING count(p.title) > 1",Which people have worked on more than one project,True,SELECT full_name FROM people WHERE unics_id IN (SELECT principal_investigator FROM projects GROUP BY principal_investigator HAVING COUNT(principal_investigator) > 1),True,False
"SELECT t1.title, MAX(t3.ec_max_contribution) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id  group by t1.title order by  MAX(t3.ec_max_contribution) DESC LIMIT 1",What is the title of the subject area that has been granted the most funding,True,SELECT sa.title FROM subject_areas sa JOIN project_subject_areas psa ON sa.code = psa.subject_area JOIN projects p ON psa.project = p.unics_id GROUP BY sa.title ORDER BY SUM(p.total_cost) DESC LIMIT 1,True,False
"SELECT t1.title, MAX(t3.ec_max_contribution) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id  group by t1.title order by  MAX(t3.ec_max_contribution) DESC LIMIT 1",Which subject area has recieved the highest funding contribution?,True,SELECT sa.title FROM subject_areas sa JOIN project_subject_areas psa ON sa.code = psa.subject_area JOIN projects p ON psa.project = p.unics_id GROUP BY sa.title ORDER BY SUM(p.total_cost) DESC LIMIT 1,True,False
"SELECT t1.title, MIN(t3.ec_max_contribution) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id  group by t1.title order by  MIN(t3.ec_max_contribution) DESC LIMIT 1",Which subject area has recieved the least funding contribution,True,SELECT sa.title FROM subject_areas sa JOIN project_subject_areas psa ON sa.code = psa.subject_area JOIN projects p ON psa.project = p.unics_id GROUP BY sa.title ORDER BY SUM(p.total_cost) ASC LIMIT 1,True,False
"SELECT t1.title, MIN(t3.ec_max_contribution) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id  group by t1.title order by  MIN(t3.ec_max_contribution) DESC LIMIT 1",What is the title of the subject area that has been granted the least amount of funding,True,SELECT sa.title FROM subject_areas sa JOIN project_subject_areas psa ON sa.code = psa.subject_area JOIN projects p ON psa.project = p.unics_id GROUP BY sa.title ORDER BY SUM(p.total_cost) ASC LIMIT 1,True,False
"Select i.institutions_name, Count(distinct project) From project_members join institutions as i on project_members.institution_id = i.unics_id GROUP BY i.institutions_name order by count(distinct project) desc limit 1",Which institution has participated in the most projects,True,SELECT i.institutions_name FROM institutions i JOIN project_members pm ON i.unics_id = pm.institution_id GROUP BY i.institutions_name ORDER BY COUNT(pm.project) DESC LIMIT 1,True,False
"Select i.institutions_name, Count(distinct project) From project_members join institutions as i on project_members.institution_id = i.unics_id GROUP BY i.institutions_name order by count(distinct project) desc limit 1",Show the institution that has been involved in the highest number of projects,True,SELECT i.institutions_name FROM institutions i JOIN project_members pm ON i.unics_id = pm.institution_id GROUP BY i.institutions_name ORDER BY COUNT(pm.project) DESC LIMIT 1,True,False
"Select t2.institutions_name, Count(distinct project) From project_members as t1 join institutions as t2 on t1.institution_id = t2.unics_id GROUP BY t2.institutions_name order by count(distinct project) asc limit 1",Which institution has participated in the fewest projects,True,SELECT i.institutions_name FROM institutions i JOIN project_members pm ON i.unics_id = pm.institution_id GROUP BY i.institutions_name ORDER BY COUNT(pm.project) ASC LIMIT 1,True,False
"Select t2.institutions_name, Count(distinct project) From project_members as t1 join institutions as t2 on t1.institution_id = t2.unics_id GROUP BY t2.institutions_name order by count(distinct project) asc limit 1",Show the institution that has been involved in the least amount of projects,True,SELECT i.institutions_name FROM institutions i JOIN project_members pm ON i.unics_id = pm.institution_id GROUP BY i.institutions_name ORDER BY COUNT(pm.project) ASC LIMIT 1,True,False
"SELECT t1.title, sum(ec_max_contribution) from funding_schemes as t1 join projects as t2 on t1.code = t2.ec_fund_scheme group by t1.title ORDER BY sum(ec_max_contribution) DESC LIMIT 1",Which funding scheme provided the most funding,True,SELECT fs.title FROM funding_schemes fs JOIN projects p ON fs.code = p.ec_fund_scheme GROUP BY fs.title ORDER BY SUM(p.total_cost) DESC LIMIT 1,True,False
"SELECT t1.title, sum(ec_max_contribution) from funding_schemes as t1 join projects as t2 on t1.code = t2.ec_fund_scheme group by t1.title ORDER BY sum(ec_max_contribution) ASC LIMIT 1",Which funding scheme provided the least funding,True,SELECT fs.title FROM funding_schemes fs JOIN projects p ON fs.code = p.ec_fund_scheme GROUP BY fs.title ORDER BY SUM(p.total_cost) ASC LIMIT 1,True,False
"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t2.code = 'PRC' ORDER BY ec_max_contribution DESC",Show the industrial partners that have worked on projects and the amount of funding they have recieved in order from most to least,False,"SELECT pm.member_name, SUM(p.total_cost) FROM project_members pm JOIN projects p ON pm.project = p.unics_id WHERE pm.activity_type = 'Industrial partner' GROUP BY pm.member_name ORDER BY SUM(p.total_cost) DESC",True,False
"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t2.code = 'PRC' ORDER BY ec_max_contribution DESC",Show the amount of funding and corresponding list of industrial partners that have worked on projects in order from the most funding to the least funding,False,"SELECT pm.member_name, SUM(p.total_cost) FROM project_members pm JOIN projects p ON pm.project = p.unics_id WHERE pm.activity_type = 'Industrial partner' GROUP BY pm.member_name ORDER BY SUM(p.total_cost) DESC",True,False
"SELECT p.title, p.start_year from projects as p order by start_year DESC",Show the title and the start year of the most recent projects,True,"SELECT title, start_year FROM projects ORDER BY start_year DESC LIMIT 1",True,False
"SELECT p.title, p.start_year from projects as p order by start_year DESC",Which projects have started most recently?,True,SELECT title FROM projects ORDER BY start_year DESC LIMIT 1,True,False
"SELECT p.title, p.start_year from projects as p order by start_year ASC",Show title and the starting year of the least recent projects,True,"SELECT title, start_year FROM projects ORDER BY start_year ASC LIMIT 1",True,False
"SELECT p.title, p.start_year from projects as p order by start_year ASC",Which projects have started the least recently?,True,SELECT title FROM projects ORDER BY start_year ASC LIMIT 1,True,False
SELECT p.start_date from projects as p order by start_date ASC,What is the starting date of the first recorded project,True,SELECT start_date FROM projects ORDER BY start_date ASC LIMIT 1,True,False
SELECT p.start_date from projects as p order by start_date ASC,On which date did the first project start?,True,SELECT start_date FROM projects ORDER BY start_date ASC LIMIT 1,True,False
SELECT t3.title from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id WHERE t1.title = 'Climate change and Carbon cycle research',Show the titles of all of the projects in the subject area of Climate change and Carbon cycle research,False,SELECT p.title FROM projects p JOIN project_subject_areas psa ON p.unics_id = psa.project JOIN subject_areas sa ON psa.subject_area = sa.code WHERE sa.title = 'Climate change and Carbon cycle research',True,True
SELECT t3.title from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id WHERE t1.title = 'Climate change and Carbon cycle research',Show the titles of all of the projects that share the subject area code 'CCC,False,,False,False
SELECT pmr.description from project_member_roles as pmr,List all of the possible roles that project members can have in projects,True,SELECT DISTINCT member_role FROM project_members,True,False
SELECT pmr.description from project_member_roles as pmr,What are all of the ways that projects members can participate in projects?,True,SELECT DISTINCT member_role FROM project_members,True,False
SELECT count(t1.description) from erc_panels as t1 join erc_research_domains as t2 on t2.code = t1.part_of WHERE t2.description = 'Life Sciences',How many erc panels are dedicated to Life Sciences,True,SELECT COUNT(*) FROM erc_panels WHERE part_of = 'LS',True,True
SELECT count(t1.description) from erc_panels as t1 join erc_research_domains as t2 on t2.code = t1.part_of WHERE t2.code = 'LS',Count the number of erc panels that are part of Life Sciences,False,SELECT COUNT(*) FROM erc_panels WHERE part_of = 'LS',True,True
SELECT t1.description from erc_panels as t1 join erc_research_domains as t2 on t2.code = t1.part_of WHERE t2.code = 'SH',List all of the european research council panels related to social sciences and humanities,False,SELECT code FROM erc_panels WHERE part_of = 'SH',True,False
